Title,Summary
Hijack 1971,The movie depics the story of people fighting for their lives in an extreme situation when a passenger plane is hijacked in the airspace of Korea in 1971.
When the Light Breaks,"Una grapples with grief while harboring a secret, unable to fully express her emotions, as she navigates challenging events swirling around her."
Io e te dobbiamo parlare,
Vulcanizadora,"Two friends take a trip through a Michigan forest, intent on carrying out a disturbing pact."
4PM,A suspense thriller depicting a peaceful couple's daily life slowly turning into a nightmare due to a neighbor who visits every day at 4pm.
The Paradise of Thorns,"Unmarried gay couple builds home, durian farm together. After one partner's accidental death, his family seizes assets due to lack of legal marriage recognition. Surviving partner fights to reclaim their shared property and life's work."
Heavier Trip,"Impaled Rektum, a band, is in jail but must escape when the guitarist's father falls ill and their family home/business faces demolition. They receive an offer to play a major festival but decline due to being imprisoned and unprepared."
In Her Place,"Chile, 1955. The case of María Carolina Geel, a popular writer who murders her lover, captivates Mercedes, a shy secretary working for the judge assigned to defend the accused."
Bade Miyan Chote Miyan,Two elite soldiers with troubled pasts are enlisted for a daring mission when a deadly masked villain threatens India's defenses.
Ajosepo,A young couple must deal with all kinds of family tensions on the eve of their wedding.
Amongst the Wolves,"Danny, an ex-soldier homeless in Dublin, meets Will, a teen fleeing a drug gang. Their encounter forces them to confront their pasts while navigating the harsh realities they face."
Gaami,"Shankar, an amnesiac Aghori who suffers from the fear of touch, goes on a dangerous Himalayan trail in search of a mythical cure for his condition. What happens when his past uncovers the way for him?"
"My Wife, My Abuser: The Secret Footage","Exposes the disturbing story of Richard Spencer's harrowing experience as he endured two decades of abuse at the hands of his wife, Sheree Spencer."
The Real Bros of Simi Valley: The Movie,"With the 10-year high school reunion around the corner, Xander and his squad embark on a journey to become the dopest versions of themselves in time to flex on all of their old classmates"
Clear Cut,A team of loggers discover a meth cook site in the middle of the forest and are forced to fight for their lives while being hunted by a drug cartel.
Her Story,"Wang Tiemei, a single mother, loses her job and moves, befriending neighbor Xiaoye who appears cheerful but is depressed. Their bond grows as Tiemei navigates relationships with her ex-husband causing trouble."
Bhakshak,Revolves around the journey of an unwavering woman's quest to seek justice and her perseverance in getting a heinous crime to light.
Die Hart 2: Die Harter,"Hart plans an innovative action film with unscripted, unexpected scenes to cement his legacy as the greatest. However, a blind spot leads him to fall victim to a vengeful plot from his past."
Billy & Molly: An Otter Love Story,A man forms an unlikely friendship with a wild otter while living in the remote Shetland Islands
Beatles '64,"Captures the band's electrifying 1964 US debut amid fan frenzy. With rare behind-the-scenes footage, it chronicles their unprecedented rise to global superstardom after performing on The Ed Sullivan Show to over 73 million viewers."
You Can't Run Forever,A teenage girl suffering from anxiety due to a tragic event from her past finds herself hunted through the woods by a sociopath on a murderous rampage.
Model House,Models staying in a secluded house for the night are terrorized by intruders.
Lesson Learned,"Young teacher Juci rebels against archaic school methods as Palkó, a new foreign student, struggles to adapt to Hungary's demanding education system. Their stories mirror societal oppression."
The Greatest Night in Pop,"On January 28th 1985, dozens of the era's most popular musicians gathered in Los Angeles to record a charity single for African famine relief. Setting egos aside, they collaborated on a song that would make history."
Maid Droid Origins,"After Eve, a beautiful android, murders one of her clients, she runs away from the evil Syndell corporation and hides out at the home of Timothy, the man who created her where she finds herself trapped in a deadly love triangle."
Poison Sangga: The Homewrecker's Curse,"The life of a married couple, Maya and Andi, who both begin to be disturbed by a series of mysterious oddities."
Grand Maison Paris,"Famous Japanese chef Obana opens a restaurant in Paris, seeking third Michelin star. Faces challenges as outsider, sourcing ingredients. Tensions rise with staff over ambitious menu."
Conjuring the Cult,"After finding his daughter's bloodied body, David joins a support group, but a cult offers to resurrect her. His choices will determine not only his fate but his daughter's soul."
The Diary,"Where Olga discovers the unfinished diary of a known killer and becomes fascinated by its dark secrets. As she delves into its contents, she uncovers a mysterious connection between them, putting her life and others in grave danger."
Outlaw,"At the age of nine, Rebeca is sold by her grandmother. Disputed by bicheiros and drug dealers, the community is going through changes in power. Rebeca becomes the wife of the chief drug dealer."
Pink Lady,"Battie and Lazer, a Jewish ultra-Orthodox couple are being blackmailed by the Wolf's gang. Both are going to fight the gang in a journey that will test their love and faith and change their lives forever."
Crayon Shin-chan: Ora's Dinosaur Diary,"After a theme park that revives extinct dinosaurs is opened in Tokyo, Shinnosuke's pet dog, Shiro, crosses paths with a small dinosaur. The two befriend each other, but their friendship might affect the existence of the park."
Goldilocks and the Two Bears,"Follows Ingrid, Ian and Ivy, three unique strangers who find each other in an uninhabited condominium. They discover they actually have a lot in common, and start wondering whether they might be each other's salvation."
Sheriff,"Sheriff and Nazri, police officers from different departments, team up to take down Tony, a ruthless drug kingpin running a methamphetamine syndicate responsible for numerous deaths, known as the Meth Killer."
"Sarah Bernhardt, la divine",Through two episodes in the life of the great stage actress Sarah Bernhardt - the amputation of her right leg in 1915 and the jubilee organized by her friends in her honor in 1896 - her passionate relationship with the actor Lucien Guitry is explored.
The Intruder,"A young, paranoid man begins to believe someone is breaking into his house every night."
Mars Has Eyes,A biologist doing research on the planet Mars is launched into a horrific predicament when Earth is destroyed by a swarm of asteroids.
Christspiracy,"The moral dimension of humanity's interaction with nonhuman animals and the industries that profit from their exploitation, as informed by world religions. A historical explanation of how the current global situation came to be."
Kiskisan,"Steamy tale of love, lust, and betrayal. When Adele's sister Bea returns with her girlfriend Cheska, a secret affair begins between Cheska and Adele's boyfriend, Rener, leading to a climactic ending when they're caught."
Here Now,Sophie a young Californian traveling in Italy on her vacation with her sister. She meets Giulio and his group of friends with whom she spends the most terrifying night of her life.
Bystanders,A group of murderous frat boys get more than they bargained for when they cross paths with a couple coming home from a wedding.
Kahar: Kapla High Council,"Set in 2005, Kahar, a socially invisible man, volunteers for Pilihanraya to protect his friend. Initially noble, his actions lead him down a path of malevolence and tyranny, risking his family's legacy."
Love Unlike in K-Dramas,"Dhea receives a special gift from her boyfriend, Bimo, in the form of a trip to Seoul, South Korea, with her friends. There, she accidentally meets her long-lost first love. Who will Dhea choose? Will this be a real love triangle drama?"
Forty-Seven Days with Jesus,A disconnected family finds hope and unity through a cinematic retelling of Jesus' final 47 days on Earth.
Krazy House,"Set in the 1990s, Krazy House follows religious homemaker Bernie and his sitcom family. When Russian workers in Bernie's house turn out to be wanted criminals, Bernie has to man up and save his imprisoned family, while slowly going crazy."
Killer Body Count,"Mistaken as a sex addict by her dad, Cami is sent off to a remote religious treatment center where the other kids are being hunted by a killer."
Vicky Vidya Ka Woh Wala Video,"A newly married couple's relationship and reputation are put at risk when their private video CD is stolen. The story follows their roller coaster journey to recover the CD, navigating a series of unexpected difficulties along the way."
The Cut,A retired boxer returns to the ring for one last shot at the title but only if he can make the weight. Holed up in a room in Las Vegas he embarks on an intensive and illegal weight cut program with an unscrupulous trainer.
La Fianza,"After celebrating her daughter's sixth birthday, Ana receives an unwelcome visit from Walter, a strange man who asks for Ricardo, her husband, with whom he has unfinished business. What starts as an uncomfortable visit, ends up becoming a disturbing situation in which she discovers Ricardo's constant lies and infidelities, as well as the real reason why Walter is in the house: to hold her and her daughter as a bond while Ricardo closes a deal with a dangerous organization Walter works for."
Jim's Story,A family living in the Jura mountains is torn apart following the return of the son's biological father.
Kanguva,A tribal warrior's fierce struggle to save his people a millennium ago is mysteriously linked to a bounty hunter's perilous quest in the present.
Bibi Rajni,"A true event-based thought, who always had faith in Waheguru (God). The Masterpiece, which is designed for people of all ages, is a complete family watch for those wanting to learn and know about Sikhism heritage. Plot by: Tejpal Pataria"
Invention,"In the aftermath of a conspiracy-minded father's sudden death, his daughter inherits his patent for an experimental healing device."
Hisaab Barabar,"Radhe Mohan, an honest TC working for Indian Railways, sets out to uncover a massive financial fraud by banker Mickey Mehta. As Mickey puts the entire system against Radhe, what lies next for him?"
Unspeakable: Beyond the Wall of Sleep,Renowned oneirologist Ambrose London is requested to appear at Arkham Asylum to study the strange case of dissociative identity disorder in patient James Fhelleps/Joe Slater.
How to Rob a Bank,"In this true-crime documentary, a charismatic rebel in 1990s Seattle pulls off an unprecedented string of bank robberies straight out of the movies."
Bad Boyz,"A directionless schoolboy becomes a goon to impress a girl fascinated by local goons. His decision leads to suspenseful, humorous consequences in the thrilling crime world."
A Brother and 7 Siblings,"After the untimely death of his older siblings, a struggling young architect suddenly becomes a ""single-parent"" for his nephews. When opportunity for a better life arises, he must choose between his love life, career, or his nephews."
The Sabarmati Report,"A Hindi reporter struggles with a deadly fact when a train full of Karsewaks is set ablaze in Godhra. Years later, he is asked to help expose the Sabarmati Incident backed by a buried report."
Blue Cave,"Navy soldier Cem embarks on trip to ""Blue Cave"" he promised wife Alara. Journey unveils details of their relationship, affirming enduring love beyond death."
Blue Lock: Episode Nagi,Seishiro Nagi before he enters the titular Blue Lock facility.
Manas,"Aware that the future does not hold many options for her in a riverside community on Marajó Island, 13-year-old Marcielle decides to confront the violent machinery that governs her family and the women in her community."
Crescent City,"A small town in the south is ravaged by a serial killer, with everyone being a suspect including the police."
Dilig,"About to get married to an old, wealthy businessman, Resa enlists the help of gardener Otso to seduce her fiancé's daughter, Katelyn, and record his sexploits with her in order to get her disowned."
Drowning Dry,"To celebrate Lukas' victory at the martial arts tournament and Tomas' birthday party, their wife's Juste and Ernesta organize a weekend at the summer house with a families. It was suppose to be a quiet weekend at countryside."
Super-Charlie,"Ten-year-old Wille has always dreamed of becoming a superhero - and taking down criminals with his policeman father. However, his dream is dashed when his little brother Charlie is born. Not only does the little one get all the attention, Wille also discovers that Charlie has superpowers."
Guilty Pleasure,"Explores the complex relationships and personal struggles of three ambitious lawyers as they navigate their way through love, betrayal, and ambition."
Mond,"A former martial artist hired to train three wealthy Jordanian sisters finds her ""dream job"" turning unsettling as the isolated young women are under constant surveillance and show no interest in the sport. Why was she really hired?"
Another German Tank Story,"While Hollywood is filming a series about the Second World War in the small village of Wiesenwalde, the villagers are chasing their personal dreams."
Runt,"Follows ten-year-old Annie and Runt, her stray dog, as they attempt to win the Agility Course Championship at the Krumpets Dog Show in London in order to save their family's farm from drought and misery."
Boreal,"After losing their son, Ana and Pablo relocate to the mountains to run a guest house. Their fiends from the city join them, but strange Northern Lights present an unexpected opportunity to jump into alternate versions of their lives."
Una terapia di gruppo,
Guntur Kaaram,"Years after his mother abandons him and remarries, a man demands answers when he's asked to sign a document denying he is her son as she runs for office."
We Were Dangerous,"Nellie, Daisy and Lou attend an institution for delinquent girls on an isolated island in 1954. The trio rail against the system, finding strength in their friendship but this is challenged when the school's matron divides them."
Footage,A found footage thriller surrounding the story of a curious couple.
The Strangers' Case,"Tragedy strikes a Syrian family in Aleppo, starting a chain reaction of events involving five different families in four different countries."
Another End,"Two people who have loved each other, and continue to love each other, even after one of them dies."
Hell Hole,"Hell Hole hails from the filmmaking family behind Hellbender and centers on an American-led fracking crew that uncovers a living French soldier frozen in time from a Napoleonic campaign, whose body hosts a parasitic monster."
Sin instrucciones,"Leo is a single, womanizing guy who lives day to day in a tiny beach town in the Canary Islands. One day one of his old flings, Julia, reappears to leave a baby of a few months in his arms and she disappears at the next morning."
Gaucho Gaucho,"A celebration of Argentine Gauchos, a community of cowboys and cowgirls living beyond the modern world's boundaries."
Witchboard,A re-imagining of the 1986 Horror Classic
Trapped Inn,An American cycling team trains at a remote European lodge. Teammates start dying mysteriously. Rivals Connor and Greg battle to survive and uncover the cause behind the team's demise.
Cocorico,"It tells the story of the Bouvier-Sauvage family of aristocrats. Their daughter is in love with the son of a Peugeot dealer. When the children announce their marriage, the aristocratic family does not agree."
A Beautiful Imperfection,"The passionate story of the life and love of Lucia, a renowned veiled courtesan who is the exception to the rule."
In Youth We Trust,"Puek, a boy from the slums, had no choice but to endure his circumstances, feeling that he could never have the same worth as others. He remained silent, accepting the bullying of others just to survive in society."
Salawahan,"Melaine can't get enough with the two men in her life. When a new man arrives, she gives in to temptation."
Subway Shark,A reporter goes down into the NYC subway system to investigate the phenomenon of the subway shark.
Meet Me Next Christmas,"In pursuit of a fairytale romance with the man of her dreams, Layla must race through New York City to get her hands on the hottest ticket in town: the sold out Pentatonix Christmas Eve Concert."
Mikado,"Mikado and Laetitia home-school Nuage and Zephir while living in a van. The van breaks down, so the family must spend the summer in a house. The change challenges their alternative lifestyle."
Init,"When a young barrio lass moves in to the city to study, she lives in a boarding house with other college students. Unknown to them, behind her shy and timid personality is a woman with insatiable hunger for sex."
Held Hostage in My House,A single mother becomes trapped inside her own vacation rental and must piece together clues from the various guests who have stayed there in order to figure out who assaulted her and hopefully survive.
From Contract Lover to the Billionaire's Bride,Chloe's fiance Mason dumps her to marry wealthy Sophia. He frames Chloe's father for his crimes. Lawyer Ethan initially dislikes Chloe but they team up when he agrees to defend her father to protect his sister.
Butchers Book Two: Raghorn,A car accident leaves the victims in the hands of brutal cannibals who plan to hack them up for meat.
Yodha,"After terrorists hijack a passenger plane, an off-duty soldier aboard devises a strategy to defeat the hijackers and ensure the passengers' survival when the engine fails."
Ketchup on Waffles,"Three masked attackers terrorize a college-town diner late Friday, with their white-masked leader orchestrating increasingly brutal murders of customers for fun over several hours."
The Lost Daughter,"A young woman follows a mysterious melody onto a remote tidal island. When she crosses back over at the next low tide, she emerges into a world where 25 years have passed."
Eks,Three compelling stories in one erotic experience. Yen Durano plays three different women in three titillating stories.
A.R.M,"Set in the Northern Kerala in 1900, 1950 and 1990, three generations of heroes, Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the land."
Konchitsya leto,"After a long absence, the young guy Kesha returns to the village. His father and younger brother are waiting for him. Kesha - twenty-seven. He has time behind him. He returned and wants to just live - find some work, save up money, and then decide what to do next. His brother Tima is only seventeen. He has a school behind him, he dreams of going to college - on a ""budget"". And everything seems to be going according to plan. Tima gets high scores at the introductory, Kesha gets a job in a gold mining artel. But very quickly, Kesha is ""thrown"" by prospectors, and he is left without a job and a future and decides to take revenge. He steals the gold and goes on the run. But not alone, but together with his younger brother."
La casa degli sguardi,
Kingsmen,"Richard King raised his 4 sons to be just like him and to take over the family business, but his sudden death has left the family searching to find out who and what could be the reason their family was torn apart."
Still Fabulous,"Stuck in a dead-end career and on a string of terrible dates, the life of 30-something Maddalena is a total mess. Until one day she meets an unlikely guardian angel that comes to her in the form of real-life porn star Valentina Nappi."
Strangers,"A frustrated woman encounters a mysterious hitman. Their romance leads to vigilante killings of criminals. As she delves deeper, she questions her partner's true nature and their hidden motives."
Saint Catherine,An orphaned girl is rescued from a satanic ritual and taken to Saint Catherine Institute for homeless youth. There she will learn new skills while facing demons that stalk her.
1978,"During the World Cup final between Argentina and Holland, in times of military dictatorship, a group of torturers kidnap a group of young people. What begins as an inhumane interrogation turns into hell: the wrong group has been kidnapped."
Daredevil vs Punisher,"Matt Murdock balances law and vigilantism in Hell's Kitchen, growing darker. His hunt for his father's killer leads to conflict with the Punisher, forcing him to choose between alliance or stopping him."
The Blue Angels,Follows the veterans and newest class of Navy and Marine Corps flight squadron as they go through intense training and into a season of heart-stopping aerial artistry.
Prodigieuses,"Twin sisters, driven by passion for piano, join an elite music university. Diagnosed with a debilitating illness threatening their hands, they refuse to abandon their dream, fighting to reinvent themselves as prodigious pianists."
Veni Vidi Vici,"The Maynards and their children lead an almost perfect billionaire family life. Amon is a passionate hunter, but doesn't shoot animals, as the family's wealth allows them to live totally free from consequences."
Martha,"The film covers the breadth of her extraordinary life through intimate interviews with Stewart herself, who opened up her personal archives to share never-before-seen photos, letters, and diary entries."
Almost Popular,"Susie and Bobbie, high school sophomores, go on a quest to fulfill their dream to become part of the elite POP Girls who rule the school. After a series of unfortunate and humiliating attempts, they get their big chance."
Milk & Serial,A surprise birthday prank takes a turn for the worse when a popular social media duo must face the reality of the terrifying aftermath.
Blue Road: The Edna O'Brien Story,"A 93-year-old Irish writer Edna O'Brien recounts her controversial life, novels, love affairs, and stardom through personal journals read by actress Jessie Buckley, with perspectives from writers like Gabriel Byrne and Walter Mosley."
The Moogai,"A young Aboriginal couple brings home their second baby. What should be a joyous time takes a sinister turn, as the baby's mother starts seeing a malevolent spirit she is convinced is trying to take her baby."
A Sloth Story,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck hoping to make their business a success."
Time Travel Is Dangerous,"Best friends Ruth and Megan run a vintage shop in Muswell Hill. Stumbling across a time machine, they embark on trips to the past to stock their shop with no idea of the irreparable damage they're causing to the fabric of the universe."
Chime,A school teacher is woken by a sound that fills him with dread.
Gumasthan,"Cunning clerk exploits legal loopholes to murder wife, evading suspicion. As public and police close in, they race to outwit his intellect and unravel the mysteries shrouding his crime and home."
The Bloody Hundredth,It honors the heroes of the 100th Bomb Group.
Devils Stay,"A heart specialist doubts his daughter's death after an exorcism, believing her heart still beats. Amid her three-day funeral, he and a priest clash over the truth, each trying to prove their stance and potentially save her life."
Hellhound,"While hunting down a brutal kingpin, one error sends an elite hitman on a downward spiral that devolves into all-out war on the streets of Thailand."
Mountain Boy,"Suhail, a young Emirati boy with Autism, flees to live in the Fujairah mountains after his father shuns him, not understanding his determination. Pinned with the confusing sadness that his mother died in childbirth with him, Suhail's perspective of the world is more nuanced - he is at one with nature, understands empathy, and has a kindness that infiltrates those who engage with him. Adamant to find his mother's family in Abu Dhabi, Suhail makes the epic journey, with his new friend Barakah, an Arabian Saluki, to find acceptance, family, and redemption."
Lesbian Space Princess,A space princess is thrust out of her sheltered life and into a galactic quest to save her bounty hunter ex-girlfriend from the Straight White Maliens.
Vincent,"A wild dark comedy that follows reclusive writer, Vincent Tremblay, who suddenly becomes the target of a mysterious and sinister force."
Bloodline Killer,Bloodline Killer is a terrifying horror-thriller that follows Moira Cole who endeavors to rebuild her shattered life after the murder of her family at the hands of her deranged and obsessed cousin.
Rebellious,"In this modern twist on a classic fairy tale, a headstrong princess is stolen by an evil sorcerer, and her scholarly fiancé must use his wits in an epic quest to find her while she boldly challenges her captors and plots a daring escape."
Demise,"Caleb Castillo, a Latino landscaper, is involved in a scandal with fashion star Fiona Hernandez and is devoted to his wife Celine. They break up, and Celine reclaims her son Brody (Fiona's & caleb's), despite Caleb's promises to leave her."
Reversi,A man's undying love for his wife and son makes him go to great lengths to correct his past for a better future.
Tales Beyond the Galaxy,"Astronauts discover alarming evidence on a vacant planet. When catastrophe strikes, one searches for lost crew. A woman faces her history in space. Failed systems threaten a habitat. Two lost astronauts drift, seeking their vessel."
Cheerleaders Behaving Badly,"When Hinsdale University cheerleaders Britney, Ashley, and Jasmine face eviction, they enlist the help of a nerdy, yet hunky, classmate to launch their own adult site to raise rent money."
TL,"Brenda, a top agent in a BPO company, is always overlooked for promotion. But not this time; as she gets more than intimate with her TL. Is her long awaited position within her reach? Or did she just put herself in a bad situation?"
Steal Her Breath,"Virtuoso thief Laura faces her ultimate challenge: outmaneuvering relentless policewoman Maxine in a dangerous, passionate cat-and-mouse game, while a sadistic killer marks them for death."
Devil's Knight,"In the realm of Veroka, an elite group of global monster hunters is summoned by King Samuel to vanquish the ancient Bone Devil, whose reign of terror threatens the Kingdom of Remény."
72 Hours,"Two brothers, one an FBI agent and the other an international money launderer, put aside their differences and band together to save their family by going after a perilous extraction deep in kingpin territory."
The Bad Shepherd,A group of friends on a hunting trip accidentally run over a woman carrying a bag of money. Their loyalty is put to the test when a strange man comes knocking.
I Can Never Be Yours,
Daniela Forever,Follows a man as he joins a sleep trial that allows him to rebuild his life with his girlfriend who died in an accident through the use of lucid dreams.
Love Bomb,A mysterious dating app designed for one night stands brings three strangers together with deadly consequences.
Frankie Freako,Workaholic yuppie Conor is in an existential rut until one night he catches a bizarre ad for a party hotline hosted by a strange dancing goblin: Frankie Freako. Could this be just the recipe to spice up his boring life?
N'avoue jamais,"A former French general married for 50 years learns that his wife cheated on him 4 decades ago. He is resolved to avenge his honor and, surrounded by his wife and their 3 children, he goes hunting for the culprit on the Côte-d'Azur."
XXX Premis Butaca,
Nice Girls,"When Léo's brother Ludo is killed in Hamburg, despite orders she partners with German cop Mélanie to investigate. Unbeknownst to them, Nice faces a threat and they share an unknown connection."
Griffin in Summer,"Fourteen-year-old Griffin Nafly is the most ambitious playwright of his generation. But once he meets handsome twenty-five-year-old handyman Brad, his life (and play) will never be the same."
A Legend,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.
Black Heat,"One night, two parents, out of options, infiltrate a top level drug dealer/pimp's apartment complex to rescue their teenage daughter."
My Name Is Loh Kiwan,"After defecting from North Korea, Loh Kiwan struggles to obtain refugee status in Belgium, where he encounters a dejected woman who has lost all hope."
The Demon Disorder,"Tells the story of Graham, Jake and Phillip Reilly and their deceased father. Their pasts collide when a family secret is discovered, leading their father's garage to become the site of revenge from beyond the grave."
Coastal,"Follows Neil Young on a coastal road trip and musical journey during his solo tour, offering intimate backstage moments."
Bonnie,"Bonnie, a high school teenager who has a dark past. However, with her martial arts knowledge, she was able to survive to protect herself and even her people. Without mercy, Bonnie will defend herself if a woman is bullied or oppressed."
"Palipat-lipat, papalit-palit",A guest turns into nightmare. Story revolves around protagonist and his wife. An Unwanted guest and her desire ruins their personal life. See who wins between lust and love.
Quisling: The Final Days,Five years of occupation during WW2 ends in Norway. Vidkun Quisling is in prison for treason and is to be held accountable for his actions. Can a priest help him find peace of mind? Can the traitor with big thoughts about himself repent?
Adult Best Friends,"Inseparable since childhood, levelheaded Katie takes her codependent best friend Delaney on a girls' trip to break the news that she is getting married. Things do not go as planned."
Chantal in Fairyland,"Chantal will be involuntarily transported to a fairy tale world, fighting against witches and tyrant kings, but above all for her friendship with Zeynep."
Vettaiyan,Ruthless criminal activity is met with force from a maverick police officer with a disregard for the rules as he confronts an outbreak of lawlessness.
The Hangman,"Troubled father Leon takes son camping in Appalachia. Local cult summons evil Hangman demon. Son goes missing. Leon must confront cult, monster to find him amid rising body count."
Audrey,The movie depicts the hope that blooms like petals in the trials faced by a mother and son who seem ordinary but are so special to each other.
Qalb,Two young hearts falling in love. The ride takes you through the 7 stages of love.
Silent Love,"Just love. In this complicated and muddy age, this is the most sad love story of this winter, gently holding up a transparent pure love."
Continental Split,"When a fault threatens to split the U.S., a desperate team of seismologists and government agents race to prevent disaster as the clock ticks down."
"Canadian, Sniper","While attempting to peacefully reintegrate into civilian life, an army sniper struggles to discern reality from the haunting uncertainty of P.T.S.D."
The Ruse,An in-home caregiver fears for her life after being assigned to a mysterious elderly patient in a remote seaside home.
Chandu Champion,A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India's first individual gold medal in any form of the Olympics.
Sommartider,"The inspirational, feel-good story behind the legendary Swedish pop sensation Gyllene Tider."
Drazen,"The narrative of Drazen Petrovic, a celebrated Croatian basketball player, highlights his personal life and unique character, emphasizing his deep, complex relationship with basketball - both his greatest passion and his curse."
Mahadev Ka Gorakhpur,
Katas,"Carmina works as a maid in a mansion and soon learns about the dirty secret of their masters, Alex and Grace."
We Will Dance Again,"A minute-by-minute retelling of the Supernova Music Festival Massacre, which took place on October 7th."
Malta,"Mariana wants to go far away, far from Bogota, far from her family, but above all away from herself. Malta is a place where to start. Before she gets there she will have to delve in other territories."
Kryptic,"A woman searches for a missing monster hunter, realizing she has an inextricable bond with the creature being pursued."
The Last Redemption,"Epic quest pits fearless outlaw Diana and knight Tyrion against villainous Lord Roland for kingdom's survival. They unite to defeat Roland, save princess, and restore peace after uncovering truths about rebellion and kingdom's fate."
The Kindness Within: A Journey to Freedom,"Former broker Leon Logothetis transforms from suicidal to spiritual seeker, traveling through India to find life's meaning. He meets spiritual leaders and serves others while discovering inner truth."
And the Breadwinner Is...,"A film that focuses on a breadwinner and her family, which serves as a tribute to the unsung heroes who carry the weight of their loved ones' dreams on their shoulders."
Zombies: Christmas Apocalypse,"As winter rolls into a small Midwestern town, the locals get more than just snow. As the dead start to rise."
Pavements,"Documentary about the American indie band Pavement, which combines scripts with documentary images of the band and a musical mise-en-scene composed of songs from their discography."
The Solitary Gourmet,"Goro Inogashira travels all over Japan for work. Upon receiving a message from an old friend's daughter, Goro arrives in Paris and learns of the elderly man's wish to taste a particular soup he had in his childhood before he dies."
The Long Game,"Ambitious young actress Holly Sloan agrees to help her boyfriend Richard Metzger scam Hollywood legend Mariah McKay, but the two women strike up an unlikely friendship instead. Soon Holly must decide where her true loyalties lie."
Music by John Williams,Follows the life of legendary composer John Williams.
The Firing Squad,Based on the true story of three Christian prisoners who face execution in a third world country and how their joy in Christ results in a stunning conclusion.
And Their Children After Them,"In eastern France, two teenage cousins have the summer of their lives when they paddle a purloined canoe to the far shore of a lake."
Fight Another Day,"Follows a tough cop, who after being transported to a dystopian future, must enter a deadly combat tournament to be able to return to his past."
The Ghost,"Amid the barren landscape of post-famine Ireland, a father and daughter struggle to survive the brutal winter as caretakers of a remote mansion, only to be driven to the edge of sanity by the horrors lurking within."
Vaazhai,"A twelve-year-old boy, Sivanandhan, his mother, sister, and friend navigate life's challenges, where a plantain tree, Vaazhai, becomes a central presence."
The Getaway,Three girls are abducted and taken to a remote island. They're held captive by three brothers raised in isolation by their grandmother. The girls are forced to become the brothers' mates and desperately attempt to escape their captors.
Death Down the Aisle,"When Malorie's fiance' dies on their wedding day, the autopsy reveals murder. Another loved one is killed and she suspects that someone close is the murderer and is targeting her. She must uncover the truth before becoming the next victim."
Gone Running,"Mother and daughters take on marathon relay after husband/father's death to honor his wish. Unprepared physically and mentally, their attempt creates ripples affecting relatives and friends, compounding challenge."
Wanted Man,"Follows a police officer who must retrieve an eyewitness and escort her after a cartel shooting leaves several DEA agents dead, but then he must decide who to trust when they discover that the attack was executed by American forces."
Room Service,A sex-crazed hotel room attendant who develops a sexual desire for a mysterious but magnetizing male guest who always brings along different women to his room.
Liza: A Truly Terrific Absolutely True Story,"A tribute to a young artist of unlimited raw talent and the deep, creative relationships she has with her mentors and influences."
Haunted Heart,"When Alex joins the team of a boutique seaside restaurant, sexual tensions rise as she falls for the enigmatic restaurant manager Max. Blinded by her feelings, the relationship slowly slides into a harrowing tale of survival."
Música,"A coming-of-age love story that follows an aspiring creator with synesthesia, who must come to terms with an uncertain future, while navigating the pressures of love, family, and his Brazilian culture in Newark, New Jersey."
Nonostante,"A man spends his days in hospital without too many worries. He has been hospitalized, safe from everything, without responsibilities and problems. That routine runs smoothly until a new person is admitted to the same ward."
Ferry 2,"After losing his drug empire, Ferry Bouman seems to have found peace away from Brabant's underworld. Why would he put it all on the line and come back?"
Easter Bloody Easter,A woman must protect her small town from the Jackalope and his army of devilish bunnies as they embark on a murder spree over the Easter weekend.
The Time It Takes,"A deeply felt narrative of the filmmaker's time with her father. A story that's both personal and told with the necessary distance. Like a passion, a life choice and a way of being in the world."
Sisid Marino,"A married couple falls into depression after the death of their child. They turn to sex as a coping mechanism, but poverty takes its toll on them."
Ryan's World the Movie: Titan Universe Adventure,"Ryan's twin sisters Emma and Kate get trapped in a comic book world. Ryan enters this realm to rescue them, facing adventures, battles, and mishaps while attempting to bring them back before his parents discover their disappearance."
Tom Petty: Heartbreakers Beach Party,"Lost 16mm reels documenting Tom Petty and the Heartbreakers' 1982-1983 'Long After Dark' album cycle, including footage originally aired on MTV in 1983."
X Files,"In the world there are thousands of mysteries still unsolved, the problem is when these mysteries become our greatest fears of our life. These stories awaken our worst nightmares."
Five Blind Dates,"A fortune teller tells a woman that on one of the next five blind dates she goes on, she will meet her soulmate."
Lubber Pandhu,"Set against the rural backdrop, explores gully cricket stars Gethu and Anbu's intense rivalry. Anbu's romantic involvement with Gethu's daughter escalates the clash. Their skills and emotions are put to the ultimate test."
Cellphone,"Wynne, who is suffering PTSD from the death of her fiancé, starts seeing disturbing images on her cell phone about her future. If she doesn't figure them out in time, she will die."
100 litraa sahtia,"Two middle-aged sisters in a Finnish village promise to brew beer for a wedding but drink their entire batch. In a hilarious race against time, they struggle with hangovers while trying to make more beer and save their reputations."
